prompt,response,response_id
"Explain the concept of gravity in simple terms.","Gravity is the force by which a planet or other body draws objects toward its center. For example, Earth's gravity pulls us down so we don't float away.",1
"Explain the concept of gravity in simple terms.","Gravity is like a magnet that pulls things down to the ground.",2
"Explain the concept of gravity in simple terms.","Gravity is when things fall down.",3
"Summarize the story of Little Red Riding Hood.","Little Red Riding Hood is a story about a girl who visits her grandmother and meets a wolf who tries to trick her.",1
"Summarize the story of Little Red Riding Hood.","A girl wears a red hood and meets a wolf.",2
"Summarize the story of Little Red Riding Hood.","A girl and a wolf.",3
"Translate the sentence 'Knowledge is power' into French.","La connaissance est le pouvoir.",1
"Translate the sentence 'Knowledge is power' into French.","Savoir c'est force.",2
"Translate the sentence 'Knowledge is power' into French.","Connaissance est puissance.",3
"Write a polite email to request a meeting with your professor.","Dear Professor, I hope this message finds you well. I would like to schedule a meeting to discuss my research progress. Please let me know your available times. Best regards.",1
"Write a polite email to request a meeting with your professor.","Hi Professor, Can we meet sometime? Thanks.",2
"Write a polite email to request a meeting with your professor.","Meeting professor.",3
"Give an example of a metaphor and explain it.","Life is a journey, meaning life is full of experiences like traveling.",1
"Give an example of a metaphor and explain it.","Time is money, saying time is valuable.",2
"Give an example of a metaphor and explain it.","Metaphor is like a simile.",3
"What are the benefits of drinking water regularly?","Drinking water regularly keeps you hydrated, helps your skin stay healthy, and aids digestion.",1
"What are the benefits of drinking water regularly?","Water is good for health and makes you not thirsty.",2
"What are the benefits of drinking water regularly?","Water is drink.",3
"Write a short Python function to calculate factorial.","def factorial(n):\n    if n == 0:\n        return 1\n    else:\n        return n * factorial(n-1)",1
"Write a short Python function to calculate factorial.","def fact(n):\n    return n*fact(n-1)",2
"Write a short Python function to calculate factorial.","def factorial():\n    pass",3
"Describe the process of photosynthesis.","Photosynthesis is the process by which green plants use sunlight to make food from carbon dioxide and water.",1
"Describe the process of photosynthesis.","Plants use sunlight to grow.",2
"Describe the process of photosynthesis.","Photosynthesis is a plant thing.",3
"What is the capital of France?","The capital of France is Paris.",1
"What is the capital of France?","France's capital is Paris.",2
"What is the capital of France?","I don't know.",3
"Write a joke about cats.","Why did the cat sit on the computer? Because it wanted to keep an eye on the mouse!",1
"Write a joke about cats.","Cats are funny.",2
"Write a joke about cats.","Meow.",3
"Generate a tweet promoting a new coffee shop.","Come visit Brew Bliss! The best coffee in town with cozy vibes. ☕️ #CoffeeLovers",1
"Generate a tweet promoting a new coffee shop.","New coffee shop open.",2
"Generate a tweet promoting a new coffee shop.","Coffee.",3
"Explain blockchain technology in under 100 words.","Blockchain is a decentralized ledger that records transactions across many computers. It ensures data security and transparency without a central authority.",1
"Explain blockchain technology in under 100 words.","Blockchain is like a digital notebook shared by many people.",2
"Explain blockchain technology in under 100 words.","Blockchain is complicated.",3
"Give three tips for effective time management.","1. Prioritize tasks. 2. Avoid multitasking. 3. Use a planner to schedule your day.",1
"Give three tips for effective time management.","Manage your time well.",2
"Give three tips for effective time management.","Don't waste time.",3
"Write a haiku about the moon.","Silver moon glistens\nSilent night sky shines so bright\nWhispers of the stars",1
"Write a haiku about the moon.","Moon is up high.",2
"Write a haiku about the moon.","Moon.",3
"Summarize the plot of 'Romeo and Juliet'.","Romeo and Juliet is a tragic love story about two young lovers from feuding families whose love ends in tragedy.",1
"Summarize the plot of 'Romeo and Juliet'.","Two lovers from different families.",2
"Summarize the plot of 'Romeo and Juliet'.","Love story.",3
"List the prime numbers between 1 and 20.","The prime numbers are 2, 3, 5, 7, 11, 13, 17, and 19.",1
"List the prime numbers between 1 and 20.","Primes between 1 and 20: 2,3,5.",2
"List the prime numbers between 1 and 20.","Prime numbers.",3
"Explain why the sky is blue.","The sky appears blue because molecules in the air scatter blue light from the sun more than other colors.",1
"Explain why the sky is blue.","Sky is blue because of sunlight.",2
"Explain why the sky is blue.","Blue sky.",3
"Describe a solution to reduce plastic pollution.","Reducing plastic pollution can be done by recycling, using reusable bags, and limiting single-use plastics.",1
"Describe a solution to reduce plastic pollution.","Use less plastic.",2
"Describe a solution to reduce plastic pollution.","Plastic bad.",3
"Write a paragraph in favor of remote work.","Remote work allows flexibility, reduces commute time, and improves work-life balance for many people.",1
"Write a paragraph in favor of remote work.","Working from home is good.",2
"Write a paragraph in favor of remote work.","Remote work.",3
"Provide a synonym for the word 'beautiful' and use it in a sentence.","A synonym for beautiful is 'gorgeous'. The sunset was absolutely gorgeous yesterday.",1
"Provide a synonym for the word 'beautiful' and use it in a sentence.","Beautiful means nice.",2
"Provide a synonym for the word 'beautiful' and use it in a sentence.","Beautiful.",3
